filename,reportStartDate,reportEndDate,obsID,startTime,endTime,dataProduct,obFileName,archiveName,Airmass,DIMM,fulfilled,publicComments
20191113,13/11/2019,14/11/2019,200434622,23:36:15,0:11:36,CALIB/STD/IFU,MUSE_WFM_STD317_0001.fits,MUSE.2019-11-13T23:43:31.708,1.141,1.27,na,na
20191113,13/11/2019,14/11/2019,200434622,23:36:15,0:11:36,CALIB/STD/IFU,MUSE_WFM_STD317_0002.fits,MUSE.2019-11-13T23:50:46.846,1.151,1.08,na,na
20191113,13/11/2019,14/11/2019,200434622,23:36:15,0:11:36,CALIB/STD/IFU,MUSE_WFM_STD317_0003.fits,MUSE.2019-11-13T23:58:11.879,1.163,0.94,na,na
20191113,13/11/2019,14/11/2019,200434622,23:36:15,0:11:36,CALIB/STD/IFU,MUSE_WFM_STD318_0001.fits,MUSE.2019-11-14T00:05:26.383,1.177,0.77,na,na
20191113,13/11/2019,14/11/2019,2637187,7:53:29,8:59:59,SCIENCE/OBJECT/IFU,MUSE_WFM-NOAO_OBS318_0005.fits,MUSE.2019-11-14T08:03:10.611,2.073,0.8,yes,"Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
20191113,13/11/2019,14/11/2019,2637187,7:53:29,8:59:59,SCIENCE/OBJECT/IFU,MUSE_WFM-NOAO_OBS318_0007.fits,MUSE.2019-11-14T08:19:45.880,1.862,0.8,yes,"Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
20191113,13/11/2019,14/11/2019,2637187,7:53:29,8:59:59,SCIENCE/OBJECT/IFU,MUSE_WFM-NOAO_OBS318_0008.fits,MUSE.2019-11-14T08:31:36.260,1.741,0.72,yes,"Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
20191113,13/11/2019,14/11/2019,2637187,7:53:29,8:59:59,SCIENCE/OBJECT/IFU,MUSE_WFM-NOAO_OBS318_0010.fits,MUSE.2019-11-14T08:48:23.334,1.601,0.72,yes,"Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
20191113,13/11/2019,14/11/2019,2637187,7:53:29,8:59:59,SCIENCE/SKY/IFU,MUSE_WFM-NOAO_OBS318_0006.fits,MUSE.2019-11-14T08:14:46.505,1.917,0.79,yes,"Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
20191113,13/11/2019,14/11/2019,2637187,7:53:29,8:59:59,SCIENCE/SKY/IFU,MUSE_WFM-NOAO_OBS318_0009.fits,MUSE.2019-11-14T08:43:25.752,1.647,0.68,yes,"Comet not perfectly centered, but we chose not to abort the OB since otherwise a large fraction of the observations would have been taken in twilight."
